State , Action | Next State, Reward | Probability
[ 0 10], LEFT  | [ 0 10], 0 | 0.8
[ 0 10], LEFT  | [ 0  9], 0 | 0.1
[ 0 10], LEFT  | [ 0 10], 0 | 0.1
[ 0 10], RIGHT | [ 1 10], 0 | 0.8
[ 0 10], RIGHT | [ 0 10], 0 | 0.1
[ 0 10], RIGHT | [ 0  9], 0 | 0.1
[ 0 10], DOWN  | [ 0  9], 0 | 0.8
[ 0 10], DOWN  | [ 1 10], 0 | 0.1
[ 0 10], DOWN  | [ 0 10], 0 | 0.1
[ 0 10], UP    | [ 0 10], 0 | 0.8
[ 0 10], UP    | [ 0 10], 0 | 0.1
[ 0 10], UP    | [ 1 10], 0 | 0.1
[ 1 10], LEFT  | [ 0 10], 0 | 0.8
[ 1 10], LEFT  | [ 1  9], 0 | 0.1
[ 1 10], LEFT  | [ 1 10], 0 | 0.1
[ 1 10], RIGHT | [ 2 10], 0 | 0.8
[ 1 10], RIGHT | [ 1 10], 0 | 0.1
[ 1 10], RIGHT | [ 1  9], 0 | 0.1
[ 1 10], DOWN  | [ 1  9], 0 | 0.8
[ 1 10], DOWN  | [ 2 10], 0 | 0.1
[ 1 10], DOWN  | [ 0 10], 0 | 0.1
[ 1 10], UP    | [ 1 10], 0 | 0.8
[ 1 10], UP    | [ 0 10], 0 | 0.1
[ 1 10], UP    | [ 2 10], 0 | 0.1
[ 2 10], LEFT  | [ 1 10], 0 | 0.8
[ 2 10], LEFT  | [ 2  9], 0 | 0.1
[ 2 10], LEFT  | [ 2 10], 0 | 0.1
[ 2 10], RIGHT | [ 3 10], 0 | 0.8
[ 2 10], RIGHT | [ 2 10], 0 | 0.1
[ 2 10], RIGHT | [ 2  9], 0 | 0.1
[ 2 10], DOWN  | [ 2  9], 0 | 0.8
[ 2 10], DOWN  | [ 3 10], 0 | 0.1
[ 2 10], DOWN  | [ 1 10], 0 | 0.1
[ 2 10], UP    | [ 2 10], 0 | 0.8
[ 2 10], UP    | [ 1 10], 0 | 0.1
[ 2 10], UP    | [ 3 10], 0 | 0.1
[ 3 10], LEFT  | [ 2 10], 0 | 0.8
[ 3 10], LEFT  | [ 3  9], 0 | 0.1
[ 3 10], LEFT  | [ 3 10], 0 | 0.1
[ 3 10], RIGHT | [ 4 10], 0 | 0.8
[ 3 10], RIGHT | [ 3 10], 0 | 0.1
[ 3 10], RIGHT | [ 3  9], 0 | 0.1
[ 3 10], DOWN  | [ 3  9], 0 | 0.8
[ 3 10], DOWN  | [ 4 10], 0 | 0.1
[ 3 10], DOWN  | [ 2 10], 0 | 0.1
[ 3 10], UP    | [ 3 10], 0 | 0.8
[ 3 10], UP    | [ 2 10], 0 | 0.1
[ 3 10], UP    | [ 4 10], 0 | 0.1
[ 4 10], LEFT  | [ 3 10], 0 | 0.8
[ 4 10], LEFT  | [ 4  9], 0 | 0.1
[ 4 10], LEFT  | [ 4 10], 0 | 0.1
[ 4 10], RIGHT | [ 4 10], 0 | 0.8
[ 4 10], RIGHT | [ 4 10], 0 | 0.1
[ 4 10], RIGHT | [ 4  9], 0 | 0.1
[ 4 10], DOWN  | [ 4  9], 0 | 0.8
[ 4 10], DOWN  | [ 4 10], 0 | 0.1
[ 4 10], DOWN  | [ 3 10], 0 | 0.1
[ 4 10], UP    | [ 4 10], 0 | 0.8
[ 4 10], UP    | [ 3 10], 0 | 0.1
[ 4 10], UP    | [ 4 10], 0 | 0.1
[ 6 10], LEFT  | [ 6 10], 0 | 0.8
[ 6 10], LEFT  | [ 6  9], 0 | 0.1
[ 6 10], LEFT  | [ 6 10], 0 | 0.1
[ 6 10], RIGHT | [ 7 10], 0 | 0.8
[ 6 10], RIGHT | [ 6 10], 0 | 0.1
[ 6 10], RIGHT | [ 6  9], 0 | 0.1
[ 6 10], DOWN  | [ 6  9], 0 | 0.8
[ 6 10], DOWN  | [ 7 10], 0 | 0.1
[ 6 10], DOWN  | [ 6 10], 0 | 0.1
[ 6 10], UP    | [ 6 10], 0 | 0.8
